Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2018-2019/209 DPSS.CO.OD No.2565/06.08.005/2018-2019,https://website.rbi.org.in/web/rbi/-/notifications/directions-for-central-counterparties-ccps-11587,"Jun 12, 2019",Department of Payment and Settlement Systems,Directions for Central Counterparties (CCPs),Central Counterparties authorised by RBI / Central Counterparties seeking authorisation from RBI / Foreign Central Counterparties seeking recognition from RBI,Directions_for_Central_Counterparties_CCPs_20250108051002.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Directions_for_Central_Counterparties_CCPs_20250108051002.pdf,2025-01-08T05:10:08.454034,,
RBI/2018-2019/208 DPSS (CO) RPPD No.2557/04.03.01/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/national-electronic-funds-transfer-neft-and-real-time-gross-settlement-rtgs-systems-waiver-of-charges-11586,"Jun 11, 2019",Department of Payment and Settlement Systems,National Electronic Funds Transfer (NEFT) and Real Time Gross Settlement (RTGS) systems - Waiver of charges,The Chairman / Managing Director / Chief Executive Officer of member banks participating in RTGS and / or NEFT,National_Electronic_Funds_Transfer_NEFT_and_Real_T_20250108051008.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/National_Electronic_Funds_Transfer_NEFT_and_Real_T_20250108051008.pdf,2025-01-08T05:10:13.548142,,
RBI/2018-2019/207 Ref.No.IDMD/3539/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11585,"Jun 10, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051017.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051017.pdf,2025-01-08T05:10:22.362425,,
F.No.4 ( 6) W & M / 2018:,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-stock-gs-11584,"Jun 10, 2019",Internal Debt Management Department,Auction for Sale (re-issue) of Government Stock (GS),,Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051022.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051022.pdf,2025-01-08T05:10:30.797570,,
RBI/2018-2019/206 DBR.LEG.BC.No.47/09.07.005/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/financial-inclusion-access-to-banking-services-basic-savings-bank-deposit-account-bsbda-11583,"Jun 10, 2019",Department of Banking Regulation,Financial Inclusion- Access to Banking Services - Basic Savings Bank Deposit Account (BSBDA),All Scheduled Commercial Banks (including RRBs) All Payments Banks All Small Finance Banks All Local Area Banks,Financial_Inclusion__Access_to_Banking_Services____20250108051030.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Financial_Inclusion__Access_to_Banking_Services____20250108051030.pdf,2025-01-08T05:10:35.660229,,
RBI/2018-2019/205 DCBR.BPD.(PCB) Cir.No.10/16.20.000/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/sale-of-securities-held-in-held-to-maturity-htm-category-accounting-treatment-11582,"Jun 10, 2019",Department of Co operative Banking Regulation,Sale of Securities held in Held to Maturity (HTM) Category - Accounting treatment,The Chief Executive Officers of All Primary (Urban) Co-operative Banks,Sale_of_Securities_held_in_Held_to_Maturity_HTM_Ca_20250108051035.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sale_of_Securities_held_in_Held_to_Maturity_HTM_Ca_20250108051035.pdf,2025-01-08T05:10:40.620882,,
RBI/2018-2019/204 DBR.No.BP.BC.46/21.04.141/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/prudential-norms-for-classification-valuation-and-operation-of-investment-portfolio-by-banks-sale-of-investments-held-under-held-to-maturity-htm-category-11581,"Jun 10, 2019",Department of Banking Regulation,"Prudential Norms for Classification, Valuation and Operation of Investment Portfolio by Banks - Sale of investments held under Held to Maturity (HTM) category",All Commercial Banks (excluding RRBs),Prudential_Norms_for_Classification_Valuation_and__20250108051040.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Prudential_Norms_for_Classification_Valuation_and__20250108051040.pdf,2025-01-08T05:10:46.587668,,
RBI/2018-2019/203 DBR.No.BP.BC.45/21.04.048/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/prudential-framework-for-resolution-of-stressed-assets-11580,"Jun 07, 2019",Department of Banking Regulation,Prudential Framework for Resolution of Stressed Assets,,Prudential_Framework_for_Resolution_of_Stressed_As_20250108051046.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Prudential_Framework_for_Resolution_of_Stressed_As_20250108051046.pdf,2025-01-08T05:10:51.895205,,
RBI/2018-2019/201 DBR.No.Ret.BC.41/12.06.159/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-fincare-small-finance-bank-limited-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934-11578,"Jun 06, 2019",Department of Banking Regulation,"Inclusion of “Fincare Small Finance Bank Limited” in the Second Schedule of the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_Fincare_Small_Finance_Bank_Limited_in_20250108051051.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_Fincare_Small_Finance_Bank_Limited_in_20250108051051.pdf,2025-01-08T05:10:56.757764,,
RBI/2018-2019/202 DBR.No.Ret.BC.42/12.06.154/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/inclusion-of-kookmin-bank-in-the-second-schedule-of-the-reserve-bank-of-india-act-1934-11579,"Jun 06, 2019",Department of Banking Regulation,"Inclusion of “Kookmin Bank” in the Second Schedule of the Reserve Bank of India Act, 1934",All Scheduled Commercial Banks,Inclusion_of_Kookmin_Bank_in_the_Second_Schedule_o_20250108051056.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Inclusion_of_Kookmin_Bank_in_the_Second_Schedule_o_20250108051056.pdf,2025-01-08T05:11:01.635010,,
RBI/2018-2019/200 REF.No.MPD.BC.387/07.01.279/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-11577,"Jun 06, 2019",Monetary Policy Department,Standing Liquidity Facility for Primary Dealers,All Primary Dealers,Standing_Liquidity_Facility_for_Primary_Dealers_20250108051101.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Standing_Liquidity_Facility_for_Primary_Dealers_20250108051101.pdf,2025-01-08T05:11:07.403502,,
RBI/2018-2019/199 DBR.No.Ret.BC.44/12.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-11576,"Jun 06, 2019",Department of Banking Regulation,Change in Bank Rate,The Chairperson / CEOs of all Scheduled and Non Scheduled Banks,Change_in_Bank_Rate_20250108051107.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108051107.pdf,2025-01-08T05:11:12.181441,,
RBI/2018-2019/197 FMOD.MAOG.No.132/01.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-repo-and-reverse-repo-rates-11574,"Jun 06, 2019",Financial Markets Operation Department,Liquidity Adjustment Facility - Repo and Reverse Repo Rates,All Liquidity Adjustment Facility (LAF) participants,Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108051117.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility___Repo_and_Reverse_R_20250108051117.pdf,2025-01-08T05:11:21.822292,,
RBI/2018-2019/198 FMOD.MAOG. No.133/01.18.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/marginal-standing-facility-11575,"Jun 06, 2019",Financial Markets Operation Department,Marginal Standing Facility,All Marginal Standing Facility (MSF) participants,Marginal_Standing_Facility_20250108051121.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Marginal_Standing_Facility_20250108051121.pdf,2025-01-08T05:11:26.700514,,
RBI/2018-2019/196 DBR.No.BP.BC.43/21.01.003/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/large-exposures-framework-11573,"Jun 03, 2019",Department of Banking Regulation,Large Exposures Framework,All Scheduled Commercial Banks (Excluding Regional Rural Banks),Large_Exposures_Framework_20250108051126.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Large_Exposures_Framework_20250108051126.pdf,2025-01-08T05:11:31.843895,,
RBI/2018-2019/195 Ref.No.IDMD/3422/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11572,"Jun 03, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks/All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051131.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051131.pdf,2025-01-08T05:11:37.165493,,
F.No.4(6)W & M/2019,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-stock-gs-11571,"Jun 03, 2019",Internal Debt Management Department,Auction for Sale (re-issue) of Government Stock (GS),,Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051137.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051137.pdf,2025-01-08T05:11:43.756150,,
RBI/2018-2019/194 DBR.RRB.BL.BC.No.40/31.01.002/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/rationalisation-of-branch-authorisation-policy-revision-of-guidelines-11570,"May 31, 2019",Department of Banking Regulation,Rationalisation of Branch Authorisation Policy- Revision of Guidelines,The Chairman All Regional Rural Banks,Rationalisation_of_Branch_Authorisation_Policy__Re_20250108051143.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Rationalisation_of_Branch_Authorisation_Policy__Re_20250108051143.pdf,2025-01-08T05:11:48.541755,,
RBI/2018-2019/192 IDMD.CDD.No.3392/14.04.050/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/sovereign-gold-bond-scheme-sgb-2019-20-series-i-ii-iii-iv-11568,"May 30, 2019",Internal Debt Management Department,Sovereign Gold Bond Scheme (SGB) 2019-20- Series I/II/III/IV,"The Chairman & Managing Director All Scheduled Commercial Banks, (Excluding RRBs) Designated Post Offices Stock Holding Corporation of India Ltd. (SHCIL) National Stock Exchange of India Ltd. & Bombay Stock Exchange Ltd.",Sovereign_Gold_Bond_Scheme_SGB_2019_20__Series_III_20250108051148.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sovereign_Gold_Bond_Scheme_SGB_2019_20__Series_III_20250108051148.pdf,2025-01-08T05:11:53.409221,,
RBI/2018-2019/193 IDMD.CDD.No.3391/14.04.050/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/sovereign-gold-bond-scheme-2019-20-series-i-ii-iii-iv-operational-guidelines-11569,"May 30, 2019",Internal Debt Management Department,Sovereign Gold Bond Scheme 2019-20 - Series I/II/III/IV - Operational Guidelines,The Chairman & Managing Director All Scheduled Commercial Banks (Excluding RRBs) Designated Post Offices Stock Holding Corporation of India ltd.(SHCIL) National Stock Exchange of India Ltd. & Bombay Stock Exchange Ltd.,Sovereign_Gold_Bond_Scheme_2019_20___Series_IIIIII_20250108051153.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Sovereign_Gold_Bond_Scheme_2019_20___Series_IIIIII_20250108051153.pdf,2025-01-08T05:12:00.447536,,
RBI/2018-2019/191 DNBR (PD) CC. No. 100/03.10.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/extension-of-relaxation-on-the-guidelines-to-nbfcs-on-securitisation-transactions-11567,"May 29, 2019",Department of Non Banking Regulation,Extension of relaxation on the guidelines to NBFCs on securitisation transactions,All NBFCs,Extension_of_relaxation_on_the_guidelines_to_NBFCs_20250108051200.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Extension_of_relaxation_on_the_guidelines_to_NBFCs_20250108051200.pdf,2025-01-08T05:12:05.293991,,
RBI/2018-2019/190 DBR.AML.BC.No.39/14.01.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/amendment-to-master-direction-md-on-kyc-11565,"May 29, 2019",Department of Banking Regulation,Amendment to Master Direction (MD) on KYC,The Chairpersons/ CEOs of all the Regulated Entities,Amendment_to_Master_Direction_MD_on_KYC_20250108051205.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Amendment_to_Master_Direction_MD_on_KYC_20250108051205.pdf,2025-01-08T05:12:11.351471,,
RBI/2018-2019/188 Ref.No.IDMD/3342/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11563,"May 27, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers.,Auction_of_Government_of_India_Dated_Securities_20250108051215.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051215.pdf,2025-01-08T05:12:20.083275,,
F.No.4(6)W & M /2019,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-stock-gs-11562,"May 27, 2019",Internal Debt Management Department,Auction for Sale (re-issue) of Government Stock (GS),,Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051220.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051220.pdf,2025-01-08T05:12:24.967777,,
RBI/2018-2019/187 A.P. (DIR Series) Circular No.34,https://website.rbi.org.in/web/rbi/-/notifications/-voluntary-retention-route-vrr-for-foreign-portfolio-investors-fpis-investment-in-debt-updated-up-to-january-23-2020-11561,"May 24, 2019",Financial Markets Regulation Department,"‘Voluntary Retention Route’ (VRR) for Foreign Portfolio Investors (FPIs) investment in debt (Updated up to January 23, 2020)",All Authorized Persons,Voluntary_Retention_Route_VRR_for_Foreign_Portfoli_20250108051224.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Voluntary_Retention_Route_VRR_for_Foreign_Portfoli_20250108051224.pdf,2025-01-08T05:12:29.997681,,
RBI/2018-2019/186 DCM (Plg.) No.2845/10.25.007/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/incentive-for-improving-service-to-non-chest-branches-11560,"May 23, 2019",Department of Currency Management,Incentive for improving service to non-chest branches,The Chairman & Managing Director Managing Director/ Chief Executive Officer All Banks having Currency Chests,Incentive_for_improving_service_to_non_chest_branc_20250108051229.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Incentive_for_improving_service_to_non_chest_branc_20250108051229.pdf,2025-01-08T05:12:42.264142,,
RBI/2018-2019/185 Ref.No.IDMD/3257/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11559,"May 20, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051242.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051242.pdf,2025-01-08T05:12:47.233450,,
F. No. 4(6)W&M /2019,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-stock-gs-11558,"May 20, 2019",Internal Debt Management Department,Auction for Sale (re-issue) of Government Stock (GS),,Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051247.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051247.pdf,2025-01-08T05:12:52.020705,,
RBI/2018-2019/184 DNBR (PD) CC. No.099/03.10.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/risk-management-system-appointment-of-chief-risk-officer-cro-for-nbfcs-11557,"May 16, 2019",Department of Non Banking Regulation,Risk Management System - Appointment of Chief Risk Officer (CRO) for NBFCs,"Non-Banking Financial Company- Investment and Credit Companies, Infrastructure Finance Companies, Micro Finance Institutions, Factors and Infrastructure Debt Funds",Risk_Management_System___Appointment_of_Chief_Risk_20250108051252.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Risk_Management_System___Appointment_of_Chief_Risk_20250108051252.pdf,2025-01-08T05:12:56.722724,,
RBI/2018-2019/183 DCM (Plg) No.2746/10.25.07/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/outsourcing-of-cash-management-reconciliation-of-transactions-11556,"May 14, 2019",Department of Currency Management,Outsourcing of Cash Management - Reconciliation of Transactions,The Chairman / Managing Director / Chief Executive Officer All Banks,Outsourcing_of_Cash_Management___Reconciliation_of_20250108051256.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Outsourcing_of_Cash_Management___Reconciliation_of_20250108051256.pdf,2025-01-08T05:13:01.516445,,
RBI/2018-2019/182 Ref.No.IDMD/3184/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11555,"May 13, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks/All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051301.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051301.pdf,2025-01-08T05:13:06.285783,,
F.No. 4 (6) W & M / 2018 :,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11554,"May 13, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051306.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051306.pdf,2025-01-08T05:13:11.202623,,
RBI/2018-2019/181 DBR.BP.BC.No.38/21.04.048/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/disclosure-on-exposure-to-infrastructure-leasing-amp-financial-services-limited-ilfs-and-its-group-entities-11553,"May 08, 2019",Department of Banking Regulation,Disclosure on Exposure to Infrastructure Leasing & Financial Services Limited (ILFS) and its group entities,"All Scheduled Commercial Banks All India Financial Institutions (EXIM Bank, NABARD, NHB and SIDBI)",Disclosure_on_Exposure_to_Infrastructure_Leasing___20250108051314.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Disclosure_on_Exposure_to_Infrastructure_Leasing___20250108051314.pdf,2025-01-08T05:13:19.263122,,
RBI/2018-2019/180 Ref.No.IDMD/3120/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11552,"May 06, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks/All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051319.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051319.pdf,2025-01-08T05:13:23.989094,,
F. No. 4 (6) W & M / 2019:,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-re-issue-of-government-stock-gs-11551,"May 06, 2019",Internal Debt Management Department,Auction for Sale (re-issue) of Government Stock (GS),,Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051323.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_re_issue_of_Government_Stock_GS_20250108051323.pdf,2025-01-08T05:13:29.067324,,
RBI/2018-2019/179 FIDD.CO.Plan.BC.18 /04.09.01/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/priority-sector-lending-targets-and-classification-11550,"May 06, 2019",Financial Inclusion and Development Department,Priority Sector Lending - Targets and Classification,The Chairman/MD & CEO All Regional Rural Banks/All Small Finance Banks,Priority_Sector_Lending___Targets_and_Classificati_20250108051329.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Priority_Sector_Lending___Targets_and_Classificati_20250108051329.pdf,2025-01-08T05:13:33.830331,,
Ref. CEPD. PRS. No.4535/13.01.004/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/ombudsman-scheme-for-non-banking-financial-companies-2018-11546,"Apr 26, 2019",Department of Non Banking Regulation,"Ombudsman Scheme for Non-Banking Financial Companies, 2018",,Ombudsman_Scheme_for_Non_Banking_Financial_Compani_20250108051333.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Ombudsman_Scheme_for_Non_Banking_Financial_Compani_20250108051333.pdf,2025-01-08T05:13:38.622138,,
F.No.4(6)W& M/ 2018 F.No.4( 6 ) W & M/2018,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11549,"Apr 26, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051338.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051338.pdf,2025-01-08T05:13:43.336217,,
RBI/2018-2019/178 Ref.No.IDMD/3064/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11548,"Apr 26, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051343.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051343.pdf,2025-01-08T05:13:48.151643,,
RBI/2018-2019/177 FMRD.FMID.No.15/11.01.007/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/legal-entity-identifier-extension-of-deadline-11547,"Apr 26, 2019",Financial Markets Regulation Department,Legal Entity Identifier: Extension of deadline,All eligible market participants,Legal_Entity_Identifier_Extension_of_deadline_20250108051348.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Legal_Entity_Identifier_Extension_of_deadline_20250108051348.pdf,2025-01-08T05:13:52.837383,,
RBI/2018-2019/176 A.P. (DIR Series) Circular No. 33,https://website.rbi.org.in/web/rbi/-/notifications/investment-by-foreign-portfolio-investors-fpi-in-debt-review-11545,"Apr 25, 2019",Financial Markets Regulation Department,Investment by Foreign Portfolio Investors (FPI) in Debt - Review,All Authorised Persons,Investment_by_Foreign_Portfolio_Investors_FPI_in_D_20250108051352.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Investment_by_Foreign_Portfolio_Investors_FPI_in_D_20250108051352.pdf,2025-01-08T05:13:57.953780,,
RBI/2018-2019/175 DBR.BP.BC.No.37/21.04.048/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/disclosure-on-exposure-to-infrastructure-leasing-amp-financial-services-limited-ilfs-and-its-group-entities-11544,"Apr 24, 2019",Department of Banking Regulation,Disclosure on Exposure to Infrastructure Leasing & Financial Services Limited (ILFS) and its group entities,"All Scheduled Commercial Banks All India Financial Institutions (EXIM Bank, NABARD, NHB and SIDBI)",Disclosure_on_Exposure_to_Infrastructure_Leasing___20250108051357.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Disclosure_on_Exposure_to_Infrastructure_Leasing___20250108051357.pdf,2025-01-08T05:14:03.955660,,
RBI/2018-2019/174 Ref.No.IDMD/2980/08.02.032/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/auction-of-government-of-india-dated-securities-11542,"Apr 22, 2019",Internal Debt Management Department,Auction of Government of India Dated Securities,All Scheduled Commercial Banks All State Co-operative Banks/All Scheduled Primary (Urban) Co-operative Banks /All Financial Institutions/ All Primary Dealers,Auction_of_Government_of_India_Dated_Securities_20250108051407.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_of_Government_of_India_Dated_Securities_20250108051407.pdf,2025-01-08T05:14:12.979212,,
F.No.4(6)W&M/2019 F.No.4(6)W&M/2019,https://website.rbi.org.in/web/rbi/-/notifications/auction-for-sale-issue-re-issue-of-government-stock-gs-11543,"Apr 22, 2019",Internal Debt Management Department,Auction for Sale (Issue/re-issue) of Government Stock (GS),,Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051412.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Auction_for_Sale_Issuere_issue_of_Government_Stock_20250108051412.pdf,2025-01-08T05:14:17.954550,,
RBI/2018-2019/171 A.P. (DIR Series) Circular No.30,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-100-million-to-the-government-of-the-republic-of-rwanda-11539,"Apr 18, 2019",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 100 million to the Government of the Republic of Rwanda,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108051417.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108051417.pdf,2025-01-08T05:14:22.683259,,
RBI/2018-2019/173 A.P. (DIR Series) Circular No.32,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-66.60-million-to-the-government-of-the-republic-of-rwanda-11541,"Apr 18, 2019",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 66.60 million to the Government of the Republic of Rwanda,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108051422.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108051422.pdf,2025-01-08T05:14:28.345534,,
RBI/2018-2019/172 A.P. (DIR Series) Circular No.31,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-line-of-credit-of-usd-100-million-to-the-government-of-the-republic-of-rwanda-11540,"Apr 18, 2019",Foreign Exchange Department,Exim Bank's Government of India supported Line of Credit of USD 100 million to the Government of the Republic of Rwanda,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_Line_of_C_20250108051428.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_Line_of_C_20250108051428.pdf,2025-01-08T05:14:33.267879,,
RBI/2018-2019/170 DNBR (PD) CC.No.098/03.10.001/2018-19,https://website.rbi.org.in/web/rbi/-/notifications/licensing-as-authorised-dealer-category-ii-11538,"Apr 16, 2019",Department of Non Banking Regulation,Licensing as Authorised Dealer- Category II,All Systemically Important Non-Deposit taking Non-Banking Financial Company - Investment and Credit Companies,Licensing_as_Authorised_Dealer__Category_II_20250108051433.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Licensing_as_Authorised_Dealer__Category_II_20250108051433.pdf,2025-01-08T05:14:37.982830,,
