Title,Date Of Issue,Link,Document Code,Departments,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
"Master Directions on Prepaid Payment Instruments (PPIs) (
)","Aug 27, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-prepaid-payment-instruments-ppis-updated-as-on-february-10-2023-lt-span-gt-12156,RBI/DPSS/2021-22/82CO.DPSS.POLC.No.S-479/02.14.006/2021-22,,Master_Directions_on_Prepaid_Payment_Instruments__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Prepaid_Payment_Instruments__,2025-01-09 00:25:02,2025-01-09 00:25:02,2025-01-09 00:25:02
"Master Direction - Classification, Valuation and Operation of Investment Portfolio of Commercial Banks (Directions), 2021 (Updated as on December 8, 2022)","Aug 25, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-classification-valuation-and-operation-of-investment-portfolio-of-commercial-banks-directions-2021-updated-as-on-december-8-2022-12153,RBI/2021-22/DOR.MRG.43/21.04.141/2021-22,(iii) Treasury transactions shall be separately subjected to concurrent audit by internal auditors and the results of their audit shall be placed before the MD&CEO/Chief Executive Officer (CEO) of the bank once every month.,Master_Direction_-_Classification__Valuation_and_O,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Classification__Valuation_and_O,2025-01-09 00:25:46,2025-01-09 00:25:46,2025-01-09 00:25:46
"Master Direction - Reserve Bank of India [Cash Reserve Ratio (CRR) and Statutory Liquidity Ratio (SLR)] Directions - 2021 (
)","Jul 20, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-cash-reserve-ratio-crr-and-statutory-liquidity-ratio-slr-directions-2021-updated-as-on-april-06-2022-12131,RBI/DOR/2021-22/80DOR.No.RET.REC.32/12.01.001/2021-22,"(i) All co-operative banks shall maintain a register, as per format given inAnnex VIII, showing the daily position of cash reserve and liquid assets maintained under Sections 18 and 24 of the Banking regulation Act, 1949 read with Section 56 thereof which shall be put up daily to Chief Executive Officer, who is responsible for ensuring compliance with the statutory liquidity requirements at the close of business every day.",Master_Direction_-_Reserve_Bank_of_India__Cash_Res,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Cash_Res,2025-01-09 00:29:18,2025-01-09 00:29:18,2025-01-09 00:29:18
"Master Direction - Reserve Bank of India (Certificate of Deposit) Directions, 2021","Jun 04, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-certificate-of-deposit-directions-2021-12108,RBI/2021-22/79FMRD.DIRD.03/14.01.003/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Certific,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Certific,2025-01-09 00:29:33,2025-01-09 00:29:33,2025-01-09 00:29:33
"Master Direction - Reserve Bank of India (Call, Notice and Term Money Markets) Directions, 2021 (
)","Apr 01, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-call-notice-and-term-money-markets-directions-2021-updated-as-on-june-08-2023-lt-span-gt-12061,RBI/2021-22/78FMRD.DIRD.01/14.01.001/2021-22,,Master_Direction_-_Reserve_Bank_of_India__Call__No,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Call__No,2025-01-09 00:29:46,2025-01-09 00:29:46,2025-01-09 00:29:46
Master Direction on Levy of Penal Interest for Delayed Reporting / Wrong Reporting / Non-Reporting of Currency Chest Transactions and Inclusion of Ineligible Amounts in Currency Chest Balances,"Apr 01, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-levy-of-penal-interest-for-delayed-reporting-wrong-reporting-non-reporting-of-currency-chest-transactions-and-inclusion-of-ineligible-amounts-in-currency-chest-balances-12056,RBI/2021-22/77Master Direction DCM (CC) No.G-4/03.35.01/2021-22,The Chairman/ Managing Director/Chief Executive Officer(All Banks having Currency Chests),Master_Direction_on_Levy_of_Penal_Interest_for_Del,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Levy_of_Penal_Interest_for_Del,2025-01-09 00:29:59,2025-01-09 00:29:59,2025-01-09 00:29:59
Master Direction on “Currency Distribution & Exchange Scheme (CDES)” for bank branches including currency chests based on performance in rendering customer service to members of public,"Apr 01, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-currency-distribution-amp-exchange-scheme-cdes-for-bank-branches-including-currency-chests-based-on-performance-in-rendering-customer-service-to-members-of-public-12055,RBI/2021-22/76Master Direction DCM (CC) No.G-2/03.41.01/2021-22,The Chairman/Managing Director/Chief Executive OfficerAll Banks,Master_Direction_on__Currency_Distribution___Excha,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on__Currency_Distribution___Excha,2025-01-09 00:30:12,2025-01-09 00:30:12,2025-01-09 00:30:12
"Master Direction - Amalgamation of Urban Cooperative Banks, Directions, 2020","Mar 23, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-amalgamation-of-urban-cooperative-banks-directions-2020-12043,RBI/DOR/2020-21/75Master Direction DOR.MAM.No.49/09.16.901/2020-21,7. The details of the proposed/continuing Chief Executive Officer of the amalgamating bank after the amalgamation.,Master_Direction_-_Amalgamation_of_Urban_Cooperati,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Amalgamation_of_Urban_Cooperati,2025-01-09 00:30:25,2025-01-09 00:30:25,2025-01-09 00:30:25
Master Direction on Digital Payment Security Controls,"Feb 18, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-digital-payment-security-controls-12032,RBI/2020-21/74DoS.CO.CSITE.SEC.No.1852/31.01.015/2020-21,The Chairman/ Managing Director/ Chief Executive OfficerAll Scheduled Commercial Banks excluding RRBs/Small Finance Banks/Payments Banks/ Credit Card issuing NBFCs.,Master_Direction_on_Digital_Payment_Security_Contr,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Digital_Payment_Security_Contr,2025-01-09 00:30:38,2025-01-09 00:30:38,2025-01-09 00:30:38
"Master Direction – Non-Banking Financial Company – Housing Finance Company (Reserve Bank) Directions, 2021 (
)","Feb 17, 2021",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-non-banking-financial-company-housing-finance-company-reserve-bank-directions-2021-updated-as-on-june-20-2023-lt-span-gt-12030,RBI/2020-21/73DOR.FIN.HFC.CC.No.120/03.10.136/2020-21,,Master_Direction___Non-Banking_Financial_Company__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Non-Banking_Financial_Company__,2025-01-09 00:33:27,2025-01-09 00:33:27,2025-01-09 00:33:27
"Master Directions – Priority Sector Lending (PSL) – Targets and Classification (
)","Sep 04, 2020",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-priority-sector-lending-psl-targets-and-classification-updated-as-on-october-20-2022-11959,RBI/FIDD/2020-21/72Master Directions FIDD.CO.Plan.BC.5/04.09.01/2020-21,"The Priority Sector Lending (PSL) guidelines issued by Reserve Bank of India were last reviewed for Commercial Banks in April 2015 and for UCBs in May 2018 respectively. With an objective to harmonise various instructions issued to Commercial Banks, SFBs, RRBs, UCBs and LABs; align these guidelines with emerging national priorities and bring sharper focus on inclusive development, it was decided to comprehensively review the PSL guidelines. The revised guidelines also aim to encourage and support environment friendly lending policies to help achieve Sustainable Development Goals (SDGs). This review also took into account the recommendations made by the ‘Expert Committee on Micro, Small and Medium Enterprises (Chairman: Shri U.K. Sinha) and the ‘Internal Working Group to Review Agriculture Credit’ (Chairman: Shri M. K. Jain) apart from discussions with all stakeholders. Further, these Master Directions encompass the revised guidelines on PSL for all Commercial banks, RRBs, SFBs, UCBs and LABs and, accordingly, supersede the earlier Master Directions on PSL issued separately for Scheduled Commercial Banks, RRBs, SFBs and guidelines issued for UCBs, respectively. The list of circulars consolidated in theseMaster Directionsis indicated in theAppendix. The Master Directions have been placed on the RBI websitewww.rbi.org.in.",Master_Directions___Priority_Sector_Lending__PSL__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions___Priority_Sector_Lending__PSL__,2025-01-09 00:37:13,2025-01-09 00:37:13,2025-01-09 00:37:13
"Master Direction - Reserve Bank of India (‘Fit and Proper’ Criteria for Elected Directors on the Boards of PSBs) Directions, 2019 (Updated as on June 03, 2020)","Aug 02, 2019",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-fit-and-proper-criteria-for-elected-directors-on-the-boards-of-psbs-directions-2019-updated-as-on-june-03-2020-11649,RBI/DBR/2019-20/71Master Direction DBR.Appt.No: 9/29.67.001/2019-20,"4.1 All the banks are required to constitute a Nomination and Remuneration Committee [hereinafter referred to as the Committee] consisting of a minimum of three non-executive directors from amongst the Board of Directors [hereinafter referred to as Board], out of which not less than one-half shall be independent directors and should include at least one member from Risk Management Committee of the Board, for undertaking a process of due diligence to determine the 'fit and proper' status of the persons to be elected as directors under sub-section (c) of Section 19 of the SBI Act/clause (i) of sub-section (3) of Section 9 of the Banking Companies (Acquisition and Transfer of Undertakings) Act, 1970/1980. The Government of India nominee director and the director nominated under section 19(f) of the SBI Act/section 9(3)(c) of the Banking Companies (Acquisition and Transfer of Undertakings) Act, 1970/1980 shall not be part of the Committee. The non-executive Chairperson of the bank may be appointed as a member of the Committee but shall not chair such Committee. The Board should also nominate one among them as Chairman of the Committee. The quorum required is three, including the Chairman. In case the absence of any nominated member results in want of quorum, the Board may nominate any other non-executive director in his place for the meeting. At the time of constituting the Committee, the Board can decide on its tenure.",Master_Direction_-_Reserve_Bank_of_India___Fit_and,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India___Fit_and,2025-01-09 00:37:43,2025-01-09 00:37:43,2025-01-09 00:37:43
"Master Direction on Currency Distribution & Exchange Scheme (CDES) based on performance in rendering customer service to the members of public (Updated as on January 6, 2020)","Jul 01, 2019",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-currency-distribution-amp-exchange-scheme-cdes-based-on-performance-in-rendering-customer-service-to-the-members-of-public-updated-as-on-january-6-2020-11621,RBI/2019-20/69Master Direction DCM (CC) No.G-6/03.41.01/2019-20,"The Chairman and Managing Director /Chief Executive Officers,All Banks",Master_Direction_on_Currency_Distribution___Exchan,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Currency_Distribution___Exchan,2025-01-09 00:38:01,2025-01-09 00:38:01,2025-01-09 00:38:01
"Master Direction on Levy of Penal Interest for Delayed Reporting / Wrong Reporting / Non-Reporting of Currency Chest Transactions and Inclusion of Ineligible Amounts in Currency Chest Balances (Updated as on October 03, 2019)","Jul 01, 2019",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-levy-of-penal-interest-for-delayed-reporting-wrong-reporting-non-reporting-of-currency-chest-transactions-and-inclusion-of-ineligible-amounts-in-currency-chest-balances-updated-as-on-october-03-2019-11620,RBI/2019-20/68Master Direction DCM (CC) No.G-4/03.35.01/2019-20,1. The Chairman& Managing Director/Chief Executive Officer(All Banks having Currency Chests),Master_Direction_on_Levy_of_Penal_Interest_for_Del,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Levy_of_Penal_Interest_for_Del,2025-01-09 00:38:17,2025-01-09 00:38:17,2025-01-09 00:38:17
"Master Direction - Fit and Proper Criteria for Sponsors - Asset Reconstruction Companies (Reserve Bank) Directions, 2018","Oct 25, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-fit-and-proper-criteria-for-sponsors-asset-reconstruction-companies-reserve-bank-directions-2018-11402,RBI/DNBR/2018-19/66Master Direction DNBR. PD (ARC) CC. No. 06/26.03.001/2018-19,The Chairman / Managing Director / Chief Executive OfficerAll registered Asset Reconstruction Companies,Master_Direction_-_Fit_and_Proper_Criteria_for_Spo,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Fit_and_Proper_Criteria_for_Spo,2025-01-09 00:38:33,2025-01-09 00:38:33,2025-01-09 00:38:33
Master Direction – Reserve Bank of India (Relief Measures by Banks in Areas affected by Natural Calamities) Directions 2018 – SCBs,"Oct 17, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-relief-measures-by-banks-in-areas-affected-by-natural-calamities-directions-2018-rrbs-11395,RBI/FIDD/2018-19/64Master Direction FIDD.CO.FSD.BC No.9/05.10.001/2018-19,The Chairman/Managing Director/Chief Executive OfficerAll scheduled commercial banks(including Small Finance Banks and excluding Regional Rural Banks),Master_Direction___Reserve_Bank_of_India__Relief_M,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Relief_M,2025-01-09 00:38:51,2025-01-09 00:38:51,2025-01-09 00:38:51
Master Direction – Reserve Bank of India (Relief Measures by Banks in Areas affected by Natural Calamities) Directions 2018 – RRBs,"Oct 17, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-relief-measures-by-banks-in-areas-affected-by-natural-calamities-directions-2018-scbs-11394,RBI/FIDD/2018-19/65Master Direction FIDD.CO.FSD.BC No.10/05.10.001/2018-19,The ChairmanAll Regional Rural Banks,Master_Direction___Reserve_Bank_of_India__Relief_M,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Relief_M,2025-01-09 00:39:08,2025-01-09 00:39:08,2025-01-09 00:39:08
Master Direction on Levy of Penal Interest for Delayed Reporting / Wrong Reporting / Non-Reporting of Currency Chest Transactions and Inclusion of Ineligible Amounts in Currency Chest Balances,"Jul 05, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-levy-of-penal-interest-for-delayed-reporting-wrong-reporting-non-reporting-of-currency-chest-transactions-and-inclusion-of-ineligible-amounts-in-currency-chest-balances-11327,RBI/DCM/2018-19/62Master Direction DCM (CC) No. G - 5/03.35.01/2018-19,1. The Chairman & Managing Director/Chief Executive Officer(All Banks having Currency Chests),Master_Direction_on_Levy_of_Penal_Interest_for_Del,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Levy_of_Penal_Interest_for_Del,2025-01-09 00:39:24,2025-01-09 00:39:24,2025-01-09 00:39:24
Master Direction on Currency Distribution & Exchange Scheme (CDES) based on performance in rendering customer service to the members of public,"Jul 05, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-currency-distribution-amp-exchange-scheme-cdes-based-on-performance-in-rendering-customer-service-to-the-members-of-public-11328,RBI/DCM/2018-19/63Master Direction DCM (CC) No.G-3/03.41.01/2018-19,"The Chairman and Managing Director /Chief Executive Officers,All Banks",Master_Direction_on_Currency_Distribution___Exchan,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Currency_Distribution___Exchan,2025-01-09 00:39:39,2025-01-09 00:39:39,2025-01-09 00:39:39
Master Directions on Relief/Savings Bonds,"Jul 03, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-relief-savings-bonds-11322,RBI/IDMD/2018-19/61IDMD.CDD No.21/13.01.299/2018-19,The Chairman / Managing DirectorHead Office (Government Accounts Department)State Bank of IndiaAll Nationalized banks(Excluding Punjab and Sind Bank & Andhra Bank)Axis Bank Ltd./ICICI Bank Ltd./HDFC Bank Ltd./Stock Holding Corporation of India Ltd. (SHCIL),Master_Directions_on_Relief_Savings_Bonds_20250109,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Relief_Savings_Bonds_20250109,2025-01-09 00:39:56,2025-01-09 00:39:56,2025-01-09 00:39:56
"Master Direction - Foreign Investment in India (
)","Jan 04, 2018",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-foreign-investment-in-india-updated-up-to-march-17-2022-11200,RBI/FED/2017-18/60FED Master Direction No. 11/2017-18,,Master_Direction_-_Foreign_Investment_in_India____,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Foreign_Investment_in_India____,2025-01-09 00:40:17,2025-01-09 00:40:17,2025-01-09 00:40:17
Master Direction on Levy of Penal Interest for Delayed Reporting/Wrong Reporting/Non-Reporting of Currency Chest Transactions and Inclusion of Ineligible Amounts in Currency Chest Balances,"Oct 12, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-levy-of-penal-interest-for-delayed-reporting-wrong-reporting-non-reporting-of-currency-chest-transactions-and-inclusion-of-ineligible-amounts-in-currency-chest-balances-11148,RBI/DCM/2017-18/59Master Direction DCM(CC) No.G - 2/03.35.01/2017-18,1. The Chairman& Managing Director/Chief Executive Officer(All Banks having Currency Chests),Master_Direction_on_Levy_of_Penal_Interest_for_Del,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Levy_of_Penal_Interest_for_Del,2025-01-09 00:40:33,2025-01-09 00:40:33,2025-01-09 00:40:33
"Master Direction on Issuance and Operation of Prepaid Payment Instruments (Updated as on November 17, 2020)","Oct 11, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-issuance-and-operation-of-prepaid-payment-instruments-updated-as-on-november-17-2020-11142,RBI/DPSS/2017-18/58Master Direction DPSS.CO.PD.No.1164/02.14.006/2017-18,,Master_Direction_on_Issuance_and_Operation_of_Prep,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Issuance_and_Operation_of_Prep,2025-01-09 00:42:41,2025-01-09 00:42:41,2025-01-09 00:42:41
"Master Direction - Non-Banking Financial Company - Peer to Peer Lending Platform (Reserve Bank) Directions, 2017 (
)","Oct 04, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-non-banking-financial-company-peer-to-peer-lending-platform-reserve-bank-directions-2017-updated-as-on-december-29-2022-11137,RBI/DNBR/2017-18/57Master Direction DNBR (PD) 090/03.10.124/2017-18,"(v) advise the Bank of any change of Directors, or key management personnel, and issue a certificate from the Managing Director/CEO of the NBFC-P2P that fit and proper criteria in selection of the Directors have been followed. The statement must reach the Regional Office of the Department of Non-Banking Supervision of the Bank under whose jurisdiction the Registered Office of the NBFC-P2P is located, within 15 days of the change. An annual statement shall be submitted by the CEO of the NBFC-P2P to the said Regional Office, giving the names of its Directors for the quarter ending on March 31, which should be certified by the auditors.",Master_Direction_-_Non-Banking_Financial_Company_-,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Non-Banking_Financial_Company_-,2025-01-09 00:44:05,2025-01-09 00:44:05,2025-01-09 00:44:05
"Master Direction - Lending to Micro, Small & Medium Enterprises (MSME) Sector (
)","Jul 24, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-lending-to-micro-small-amp-medium-enterprises-msme-sector-updated-as-on-july-29-2022-11060,RBI/FIDD/2017-2018/56Master Direction FIDD.MSME & NFS.12/06.02.31/2017-18,"The recommendations of the Working Group included, inter alia, mandatory doubling of the limit for collateral free loans to micro and small enterprises (MSEs) sector from Rs.5 lakh to Rs.10 lakh and enjoining upon the Chief Executive Officers of banks to strongly encourage the branch level functionaries to avail of the CGS cover and making performance in this regard a criterion in the evaluation of their field staff, etc. have been advised to all banks.",Master_Direction_-_Lending_to_Micro__Small___Mediu,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Lending_to_Micro__Small___Mediu,2025-01-09 00:44:40,2025-01-09 00:44:40,2025-01-09 00:44:40
Master Direction - Reserve Bank of India (Relief Measures by banks in areas affected by Natural Calamities) Directions 2017,"Jul 05, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-relief-measures-by-banks-in-areas-affected-by-natural-calamities-directions-2017-11037,RBI/FIDD/2017-2018/55Master Direction FIDD.CO.FSD.BC No.8/05.10.001/2017-18,The Chairman/Managing Director/Chief Executive OfficerAll scheduled commercial banks(including Small Finance Banks and excluding Regional Rural Banks),Master_Direction_-_Reserve_Bank_of_India__Relief_M,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Reserve_Bank_of_India__Relief_M,2025-01-09 00:44:56,2025-01-09 00:44:56,2025-01-09 00:44:56
Master Directions on Relief/Savings Bonds,"Jul 04, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-relief-savings-bonds-11036,RBI/IDMD/2017-18/54IDMD.CDD No.8/13.01.299/2017-18,The Chairman / Managing DirectorHead Office (Government Accounts Department)State Bank of IndiaAll Nationalized banks(Excluding Punjab and Sind Bank & Andhra Bank)Axis Bank Ltd./ICICI Bank Ltd./HDFC Bank Ltd./Stock Holding Corporation of India Ltd. (SHCIL),Master_Directions_on_Relief_Savings_Bonds_20250109,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Relief_Savings_Bonds_20250109,2025-01-09 00:45:13,2025-01-09 00:45:13,2025-01-09 00:45:13
Master Direction - Information Technology Framework for the NBFC Sector,"Jun 08, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-information-technology-framework-for-the-nbfc-sector-10999,RBI/DNBS/2016-17/53Master Direction DNBS.PPD.No.04/66.15.001/2016-17,"1.1 IT Strategy Committee:NBFCs are required to form an IT Strategy Committee. The chairman of the committee shall be an independent director and CIO & CTO should be a part of the committee. The IT Strategy Committee should meet at an appropriate frequency but not more than six months should elapse between two meetings. The Committee shall work in partnership with other Board committees and Senior Management to provide input to them. It will also carry out review and amend the IT strategies in line with the corporate strategies, Board Policy reviews, cyber security arrangements and any other matter related to IT Governance. Its deliberations may be placed before the Board.",Master_Direction_-_Information_Technology_Framewor,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Information_Technology_Framewor,2025-01-09 00:45:35,2025-01-09 00:45:35,2025-01-09 00:45:35
"Master Direction - Money Transfer Service Scheme (MTSS)(
)","Feb 23, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-money-transfer-service-scheme-mtss-10868,RBI/FED/2016-17/52FED Master Direction No.1/2016-17,,Master_Direction_-_Money_Transfer_Service_Scheme__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Money_Transfer_Service_Scheme__,2025-01-09 00:45:52,2025-01-09 00:45:52,2025-01-09 00:45:52
"Master Directions on Access Criteria for Payment Systems (Updated as on July 28, 2021)","Jan 19, 2017",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-access-criteria-for-payment-systems-updated-as-on-july-28-2021-10833,RBI/DPSS/2016-17/51Master Direction DPSS.CO.OD.No.1846/04.04.009/2016-17,The Chairman/ Managing Director/ Chief Executive OfficerAll Scheduled Commercial Banks including RRBs/Urban Co-operative Banks/ State Co-operative Banks/District Central Co-operative Banks/ Payment Banks/ Small Finance Banks/ Primary Dealers/Authorised Payment System Providers,Master_Directions_on_Access_Criteria_for_Payment_S,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Access_Criteria_for_Payment_S,2025-01-09 00:46:44,2025-01-09 00:46:44,2025-01-09 00:46:44
"Master Direction - Insurance (Updated as on December 07, 2021)","Nov 17, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-insurance-updated-as-on-december-07-2021-10738,RBI/FED/2015-16/5FED Master Direction No. 9/2015-16,,Master_Direction_-_Insurance__Updated_as_on_Decemb,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Insurance__Updated_as_on_Decemb,2025-01-09 00:47:01,2025-01-09 00:47:01,2025-01-09 00:47:01
"Master Directions - Mortgage Guarantee Companies (Reserve Bank) Directions, 2016 (
)","Nov 10, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-mortgage-guarantee-companies-reserve-bank-directions-2016-updated-as-on-june-20-2023-lt-span-gt-10690,RBI/DNBR/2016-17/50Master Direction DNBR.(PD-MGC) No. 01/23.11.001/2016-17,,Master_Directions_-_Mortgage_Guarantee_Companies__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_-_Mortgage_Guarantee_Companies__,2025-01-09 00:47:32,2025-01-09 00:47:32,2025-01-09 00:47:32
"Master Direction - Monitoring of Frauds in NBFCs (Reserve Bank) Directions, 2016","Sep 29, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-monitoring-of-frauds-in-nbfcs-reserve-bank-directions-2016-10622,RBI/DNBS/2016-17/49Master Direction DNBS. PPD.01/66.15.001/2016-17,,Master_Direction_-_Monitoring_of_Frauds_in_NBFCs__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Monitoring_of_Frauds_in_NBFCs__,2025-01-09 00:47:54,2025-01-09 00:47:54,2025-01-09 00:47:54
"Master Direction - Non-Banking Financial Companies Auditor’s Report (Reserve Bank) Directions, 2016","Sep 29, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-non-banking-financial-companies-auditor-s-report-reserve-bank-directions-2016-10621,RBI/DNBS/2016-17/48Master Direction DNBS. PPD.03/66.15.001/2016-17,,Master_Direction_-_Non-Banking_Financial_Companies,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Non-Banking_Financial_Companies,2025-01-09 00:48:12,2025-01-09 00:48:12,2025-01-09 00:48:12
"Master Direction- Non-Banking Financial Company Returns (Reserve Bank) Directions, 2016","Sep 29, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-non-banking-financial-company-returns-reserve-bank-directions-2016-10620,RBI/DNBS/2016-17/47Master Direction DNBS.PPD.02/66.15.001/2016-17,,Master_Direction-_Non-Banking_Financial_Company_Re,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction-_Non-Banking_Financial_Company_Re,2025-01-09 00:48:31,2025-01-09 00:48:31,2025-01-09 00:48:31
"Master Direction- Non-Banking Financial Company - Account Aggregator (Reserve Bank) Directions, 2016 (
)","Sep 02, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-non-banking-financial-company-account-aggregator-reserve-bank-directions-2016-updated-as-on-december-29-2022-10598,RBI/DNBR/2016-17/46Master Direction DNBR.PD.009/03.10.119/2016-17,iv. furnish to the Bank an annual statement on change of directors/ managing director/ CEO duly certified by the Statutory Auditors that fit and proper criteria in selection of the directors has been followed. The statement must reach the Regional Office of the Bank within 15 days of the close of the year.,Master_Direction-_Non-Banking_Financial_Company_-_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction-_Non-Banking_Financial_Company_-_,2025-01-09 00:51:11,2025-01-09 00:51:11,2025-01-09 00:51:11
"Master Direction - Non-Banking Financial Company – Non-Systemically Important Non-Deposit taking Company (Reserve Bank) Directions, 2016 (Updated as on August 29, 2023)","Sep 01, 2016",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-non-banking-financial-company-non-systemically-important-non-deposit-taking-company-reserve-bank-directions-2016-updated-as-on-june-20-2023-lt-span-gt-10585,RBI/DNBR/2016-17/44Master Direction DNBR.PD.007/03.10.119/2016-17,,Master_Direction_-_Non-Banking_Financial_Company__,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Non-Banking_Financial_Company__,2025-01-09 00:54:32,2025-01-09 00:54:32,2025-01-09 00:54:32
